Surname,#Awards,Education
Reddy,6,"['University of Madras', 'BE', 'University of New South Wales', 'MTech', 'Stanford University', 'PhD']"
Reed,0,['MIT']
Reenskaug,0,[]
Reynolds,2,"['Purdue University', 'Ph.D.', 'Harvard University']"
Reynolds,0,['University of Southern California']
Riet,0,"['University of Amsterdam', 'Ph.D.']"
Richards,0,[]
Richards,1,['University of Cambridge']
Ries,0,[]
Rijsbergen,1,"['University of Western Australia', 'University of Cambridge']"
Ritchie,8,['Harvard University']
Rivest,5,"['Stanford University', 'Yale University']"
Robinson,2,['University of Sydney']
Rolland,0,['University of Nancy']
Romero,0,[]
Rosenfeld,3,[]
Ross,3,"['Oberlin College', 'B.Sc.', 'Massachusetts Institute of Technology', 'M.Sc.']"
Rossum,2,['University of Amsterdam']
Rothman,0,['United States Patent and Trademark Office']
Royce,0,[]
Rucker,0,"['St. Xavier High School', 'Swarthmore College', 'BA', 'Rutgers University', 'MS', 'PhD']"
Rudich,1,[]
Rulifson,25,"['University of Washington', 'Stanford University']"
Rumbaugh,0,[]
Ružička,4,['Comenius University in Bratislava']
Sadowsky,0,['Harvard University']
Sadrzadeh,0,"['Université du Québec à Montréal', 'Sharif University of Technology']"
Saif,0,"['Lahore University of Management Sciences', 'University of Cambridge', 'Massachusetts Institute of Technology']"
Salton,6,"['Brooklyn College', 'Harvard University']"
Sammet,3,"['Mount Holyoke College', 'B.A.', 'University of Illinois at Urbana Champaign', 'M.A.', 'Columbia University']"
Sammut,0,[]
Sassenrath,0,"['University of California, Davis']"
Satyanarayanan,5,"['Carnegie Mellon University (Ph.D.)', 'IIT Madras (M.Tech., B.Tech.)']"
Savitch,0,"['University of California, Berkeley']"
Schaeffer,2,"['University of Waterloo', 'University of Toronto']"
Schickard,0,[]
Schmidhuber,0,['Technical University of Munich']
Schneider,0,['University of Oxford']
Schneier,0,"['American University', 'University of Rochester']"
Schneider,5,['Stony Brook University']
Schoenebeck,6,"['Georgia Institute of Technology', 'University of California, Berkeley', 'Dartmouth College']"
Schroeder,0,['Unix shell']
Schölkopf,10,"['University of London', 'University of Tübingen', 'TU Berlin']"
Scott,6,"['UC Berkeley', 'Princeton University']"
Scott,0,[]
Sedgewick,4,['Brown University']
Sethi,0,"['Indian Institute of Technology, Kanpur', 'Princeton University']"
Shadbolt,2,"['Newcastle University', 'University of Edinburgh']"
Shamir,6,"['Tel Aviv University', 'Weizmann Institute of Science']"
