,Surname,#Awards,Education
350,LeCun,3,"['ESIEE Paris', 'MS', 'Pierre and Marie Curie University', 'PhD']"
351,Lerdorf,0,['University of Waterloo']
352,Levchin,0,['University of Illinois at Urbana-Champaign']
353,Levin,2,"['Moscow University', 'Massachusetts Institute of Technology']"
354,Leyton-Brown,1,"['McMaster University', 'Stanford University']"
355,Licklider,0,"['Washington University in St. Louis', 'University of Rochester']"
356,Liddle,0,[]
357,Liedtke,0,"['Bielefeld University', 'Technical University of Berlin']"
358,Lions,0,"['University of Sydney', 'University of Cambridge']"
359,Lindsey,0,[]
360,Lipton,2,['Carnegie Mellon']
361,Liskov,3,"['University of California, Berkeley', 'Stanford University']"
362,Liu,0,"['Cornell University', 'Tsinghua University', 'Peking University']"
363,Long,2,"['San Diego State University', 'University of California, San Diego']"
364,Lopez,1,['New Mexico State University']
365,Lovegrove,0,"['Newnham College, Cambridge', 'Cambridge University']"
366,Luckham,0,"['Ph.D.', 'MIT']"
367,Luks,3,[]
368,Lynch,7,"['Brooklyn College', 'MIT']"
369,Thalmann,2,"['University of Geneva', 'École Polytechnique Fédérale de Lausanne']"
370,Maibaum,1,"['B.Sc.', 'University of Toronto', 'Ph.D.', 'University of London']"
371,Marlow,2,"['University of Glasgow', 'University of Bristol']"
372,Manna,4,"['Technion – Israel Institute of Technology', 'Carnegie Mellon University']"
373,Martin,3,['University of Oxford']
374,Martin,0,[]
375,Mashey,0,[]
376,Matiyasevich,3,['Leningrad State University']
377,Matsumoto,0,"['University of Tsukuba', 'Shimane University']"
378,Mauchly,3,['Johns Hopkins University']
379,Maulik,11,"['Nabadwip Bakultala High School', 'Calcutta University', 'Jadavpur University']"
380,McAuley,1,['University of Cambridge']
381,McCarthy,6,"['Princeton University', 'California Institute of Technology']"
382,McCallum,1,"['Dartmouth College', 'University of Rochester', '[2]']"
383,McIlroy,3,"['Cornell University', 'Massachusetts Institute of Technology']"
384,McKinstry,0,[]
385,McKusick,0,"['University of California, Berkeley']"
386,Meertens,2,[]
387,Mehlhorn,4,"['Cornell University', '[2]']"
388,Metcalf,0,[]
389,Meyer,3,"['Université de Nancy', 'Stanford University', 'École Polytechnique']"
390,Micali,3,"['La Sapienza University of Rome', 'UC Berkeley']"
391,Milner,5,[]
392,Minker,2,"['Brooklyn College', 'University of Wisconsin', 'University of Pennsylvania']"
393,Minsky,6,"['Harvard University', 'BA', 'Princeton University', 'MA', 'PhD']"
394,Mitchell,2,"['University of Waterloo', 'Carnegie Mellon University']"
395,Mitchell,3,"['Stanford University', 'Massachusetts Institute of Technology']"
396,Arvind,14,"['IIT Kanpur', 'B.Sc., 1969', 'University of Minnesota', 'M.S.', 'Ph.D.']"
397,Mockapetris,4,"['Massachusetts Institute of Technology', 'University of California at Irvine']"
398,Moler,2,"['California Institute of Technology', 'Stanford University']"
399,Moller,0,"['University of British Columbia', 'University of Waterloo', 'University of Edinburgh']"
400,Moon,0,['Pennsylvania State University']
401,Moore,0,[]
402,Moore,0,"['Virginia Tech', 'Brown University']"
403,Moore,9,"['University of California, Berkeley', 'BS', 'California Institute of Technology', 'PhD']"
404,Moore,0,[]
405,Moore,4,['Stanford University']
406,Moravec,0,"['Acadia University', '[1]', 'University of Western Ontario', '[1]', 'Stanford University', '[1]']"
407,Morgan,0,"['Ph.D.', 'University of Sydney']"
